t(s),Total retention volume 6,Total retention volume 7,Total retention volume 8,Total solute volume 6,Total solute volume 7,Total solute volume 8,Flux surface 10: solute,Flux surface 11: solute,Flux surface 12: solute,Flux surface 14: solute,Flux surface 13: solute,Average T surface 10,Flux surface 15: solute
201137.76745352583,1163987739639446.0,49601001448311.89,434808528457266.25,212663321122709.5,49599196246934.05,413722682862428.8,-282928286.9693853,8767466700.816896,-284472620.6051795,-4.954915558480804e-27,-50391380700.66349,392.73067810115657,221585251.75359902
222251.54419887843,1191825657770913.8,54719002310802.03,501934056238108.5,213500947741039.6,54717003164375.19,477040877282829.9,-299706948.12240654,8792500933.196497,-290027872.3840252,-1.83837860886661e-26,-50420599534.57225,392.73067810115657,227098520.7498259
245476.69861876627,1219566363694357.5,60298176868534.26,576850581655271.1,214279741995273.56,60295965265050.37,547575357306180.75,-317098761.238496,8814877951.93331,-295052441.0754699,-8.075253512320643e-26,-50448022314.906715,392.73067810115657,232325896.69568953
271024.3684806429,1247254071946704.8,66382838966442.484,660316424944657.2,215005204459834.53,66380394508432.78,626001684155406.1,-335270786.79231805,8834923855.21084,-299638540.43987936,-3.862284960898686e-25,-50473746612.99391,392.73067810115657,237357243.299959
299126.8053287072,1274928223008531.8,73020219861479.89,753170262072491.2,215682237030696.56,73017520120489.62,713062898474204.5,-354384345.9257981,8852920723.86506,-303865379.06935793,-1.8698655094804268e-24,-50497866468.26132,392.73067810115657,242271874.28769967
330039.48586157797,1302623590624335.0,80260732805360.25,856338633443168.5,216315175261341.6,80257753162959.53,809575066608470.8,-374596337.56393707,8869111073.38784,-307799710.559828,-8.771957726098167e-24,-50520472372.66445,392.73067810115657,247139437.48891667
364043.4344477358,1330370602655132.2,88158267462479.05,970844044612449.2,216907836097395.2,88154980936441.92,916433137671325.1,-396061216.75811666,8883702956.516953,-311497161.9607173,-3.8862695438678656e-23,-50541651079.44905,392.73067810115657,252021377.06006634
401447.77789250936,1358195777978030.2,96770501252939.88,1097813780602262.9,217463572661207.88,96766878307646.03,1034617193389099.9,-418933206.95445794,8896875054.28161,-315003919.13375646,-1.5998403044305608e-22,-50561485339.65107,392.73067810115657,256972601.19350117
442592.5556817603,1386122212771459.5,106159219132381.23,1238489532755482.0,217985330752661.22,106155227472791.98,1165199148082074.5,-443368477.51595867,8908781355.871422,-318358461.8528027,-6.054660449662264e-22,-50580053661.678986,392.73067810115657,262043103.17448798
487851.81124993635,1414170074902382.8,116390637234606.28,1394237914716309.0,218475704069270.84,116386241583289.02,1309349931798181.5,-469527152.1646923,8919555243.801884,-321593159.54567236,-2.09124655381469e-21,-50597430170.86692,392.73067810115657,267279396.39270356
